OBJECTID,SOG,COG,Heading,ROT,BaseDateTime,Status,VoyageID,MMSI,ReceiverType,ReceiverID,MIKE_UTM_Y,MIKE_UTM_X,lat,lon
1,0,327,511,128,7/16/2011 12:04:00,0,520,366925440,b,003669713,4690835.420780075700000,331867.341743289490000,42.351618000000002,-71.041391999999988
2,0,183,511,128,7/16/2011 12:05:00,0,520,366925440,b,003669971,4690832.611099705100000,331868.675288909110000,42.351593000000022,-71.041375000000002
3,0,285,511,128,7/16/2011 12:06:00,0,520,366925440,b,003669971,4690829.815264077900000,331869.432279901580000,42.351567999999965,-71.041364999999999
4,0,142,511,128,7/16/2011 12:07:00,0,520,366925440,b,003669713,4690829.521692998700000,331867.776978451760000,42.351564999999994,-71.041384999999991
5,0,122,511,128,7/16/2011 12:08:00,0,520,366925440,b,003669713,4690828.454781783700000,331865.938281490470000,42.351555000000012,-71.041406999999992
6,0,308,511,128,7/16/2011 12:09:00,0,520,366925440,b,003669971,4690827.586221590600000,331865.093298556280000,42.351547000000032,-71.041416999999996
7,0,134,511,128,7/16/2011 12:10:00,0,520,366925440,b,003669971,4690827.122274069100000,331865.906284155320000,42.351543000000007,-71.041407000000007
8,0,260,511,128,7/16/2011 12:11:00,0,520,366925440,b,003669713,4690829.091084906800000,331862.574643764640000,42.351560000000042,-71.041447999999988
9,0,213,511,128,7/16/2011 12:12:00,0,520,366925440,b,003669971,4690826.071186106700000,331863.408665034920000,42.351532999999996,-71.041437000000002
10,0,177,511,128,7/16/2011 12:13:00,0,520,366925440,b,003669713,4690827.574640119400000,331870.202603462150000,42.351548000000022,-71.041354999999996
11,0,198,511,128,7/16/2011 12:14:00,0,520,366925440,b,003669713,4690820.753882905500000,331876.631838114000000,42.351487999999996,-71.041274999999985
12,0,280,511,128,7/16/2011 12:16:00,0,520,366925440,b,003669713,4690825.833563238400000,331868.677368617620000,42.351531999999992,-71.041372999999993
13,0,74,511,128,7/16/2011 12:17:00,0,520,366925440,b,003669713,4690830.711228955500000,331864.509038578720000,42.351574999999990,-71.041424999999990
14,0,204,511,128,7/16/2011 12:18:00,0,520,366925440,b,003669971,4690824.742918098300000,331867.827052927580000,42.351521999999989,-71.041382999999982
15,0,199,511,128,7/16/2011 12:19:00,0,520,366925440,b,003669713,4690819.442840633900000,331871.078706125730000,42.351474999999986,-71.041341999999986
16,0,231,511,128,7/16/2011 12:20:00,0,520,366925440,b,003669713,4690823.398543613000000,331868.289247104900000,42.351510000000005,-71.041376999999983
17,0,239,511,128,7/16/2011 12:21:00,0,520,366925440,b,003669713,4690829.527626413900000,331867.529883108100000,42.351565000000036,-71.041388000000012
18,0,254,511,128,7/16/2011 12:22:00,0,520,366925440,b,003669713,4690828.940770110100000,331868.834392935040000,42.351560000000028,-71.041371999999996
19,0,232,511,128,7/16/2011 12:23:00,0,520,366925440,b,003669713,4690829.742086786800000,331872.479788970200000,42.351567999999993,-71.041327999999979
20,0,285,511,128,7/16/2011 12:24:00,0,520,366925440,b,003669971,4690827.707725942100000,331873.914367216640000,42.351550000000017,-71.041309999999996
21,0,170,511,128,7/16/2011 12:25:00,0,520,366925440,b,003669713,4690830.915798276700000,331869.870769296770000,42.351577999999996,-71.041359999999983
22,0,6,511,128,7/16/2011 12:26:00,0,520,366925440,b,003669971,4690830.745423067400000,331872.339055854830000,42.351576999999999,-71.041330000000002
23,0,237,511,128,7/16/2011 12:27:00,0,520,366925440,b,003669713,4690826.973940054000000,331872.083669859920000,42.351543000000007,-71.041331999999997
24,0,320,511,128,7/16/2011 12:28:00,0,520,366925440,b,003669713,4690820.406912146100000,331877.200395833700000,42.351485000000032,-71.041268000000002
25,0,255,511,128,7/16/2011 12:29:00,0,520,366925440,b,003669713,4690824.614363158100000,331873.180788979870000,42.351521999999989,-71.041318000000004
26,0,346,511,128,7/16/2011 12:30:00,0,520,366925440,b,003669971,4690818.996982982400000,331875.765525468630000,42.351472000000001,-71.041284999999988
27,0,279,511,128,7/16/2011 12:31:00,0,520,366925440,b,003669971,4690826.601258313300000,331873.722973749040000,42.351540000000021,-71.041311999999991
28,0,327,511,128,7/16/2011 12:32:00,0,520,366925440,b,003669713,4690844.260653400800000,331869.367086413320000,42.351698000000027,-71.041370000000001
29,8,28,511,128,7/16/2011 12:33:00,0,520,366925440,b,003669971,4690920.724795164500000,331896.173884737310000,42.352392000000023,-71.041066999999984
30,9,81,511,128,7/16/2011 12:34:00,0,520,366925440,b,003669971,4691099.880217513100000,332083.836073467510000,42.354045000000021,-71.038842000000002
31,10,98,511,128,7/16/2011 12:35:00,0,520,366925440,b,003669971,4691079.911457566500000,332374.674160580150000,42.353927999999996,-71.035307000000003
32,16,96,511,128,7/16/2011 12:36:00,0,520,366925440,b,003669713,4691062.010670622800000,332505.194049282000000,42.353795000000027,-71.033717999999993
33,27,104,511,128,7/16/2011 12:36:00,0,520,366925440,b,003669971,4690992.584476895600000,332960.331285298800000,42.353268000000028,-71.028175000000019
34,27,114,511,128,7/16/2011 12:37:00,0,520,366925440,b,003669713,4690874.216379307200000,333260.367585792210000,42.352267000000005,-71.024500000000003
35,29,128,511,128,7/16/2011 12:37:00,0,520,366925440,b,003669971,4690583.210735812800000,333737.867383481000000,42.349750000000022,-71.018621999999993
36,28,115,511,128,7/16/2011 12:38:00,0,520,366925440,b,003669713,4690066.623130153900000,334406.387959914280000,42.345243000000004,-71.010361999999972
37,29,111,511,128,7/16/2011 12:39:00,0,520,366925440,b,003669713,4689681.196810374000000,335297.256317420860000,42.341963000000000,-70.999442999999985
38,28,102,511,128,7/16/2011 12:40:00,0,520,366925440,b,003669971,4689369.572473527900000,336101.663235272280000,42.339328000000023,-70.989594999999994
39,28,97,511,128,7/16/2011 12:41:00,0,520,366925440,b,003669713,4689209.051085209500000,336976.831548203710000,42.338067000000009,-70.978931999999986
40,28,98,511,128,7/16/2011 12:42:00,0,520,366925440,b,003669713,4689061.786465253700000,337845.662160891110000,42.336923000000056,-70.968350000000001
41,27,96,511,128,7/16/2011 12:43:00,0,520,366925440,b,003669971,4688941.029856307400000,338706.723978212100000,42.336015000000025,-70.957870000000000
42,28,104,511,128,7/16/2011 12:44:00,0,520,366925440,b,003669713,4688841.547550909200000,339565.245038439520000,42.335297000000004,-70.947426999999990
43,30,127,511,128,7/16/2011 12:45:00,0,520,366925440,b,003669713,4688351.047639550600000,340284.796020403500000,42.331030000000041,-70.938562000000005
44,29,129,511,128,7/16/2011 12:46:00,0,520,366925440,b,003669713,4687803.276412064200000,340912.378752073270000,42.326227999999986,-70.930797999999996
45,29,115,511,128,7/16/2011 12:47:00,0,520,366925440,b,003669713,4687273.977279219800000,341629.847259025090000,42.321609999999986,-70.921949999999995
46,28,96,511,128,7/16/2011 12:48:00,0,520,366925440,b,003669971,4687001.096006812500000,342459.298800410700000,42.319322000000021,-70.911815000000004
47,27,94,511,128,7/16/2011 12:49:00,0,520,366925440,b,003669713,4686937.080169782000000,343322.911424238230000,42.318919999999999,-70.901323000000005
48,27,90,511,128,7/16/2011 12:50:00,0,520,366925440,b,003669971,4686871.513296570600000,344106.193022282790000,42.318487000000026,-70.891804999999991
49,28,91,511,128,7/16/2011 12:51:00,0,520,366925440,b,003669971,4686844.135618122300000,344954.967264404520000,42.318410000000014,-70.881502999999981
50,28,88,511,128,7/16/2011 12:52:00,0,520,366925440,b,003669713,4686830.833466136800000,345820.045240935870000,42.318462000000039,-70.871006999999977
51,28,90,511,128,7/16/2011 12:53:00,0,520,366925440,b,003669971,4686840.075938334700000,346695.423154654910000,42.318718000000011,-70.860392000000004
52,29,86,511,128,7/16/2011 12:54:00,0,520,366925440,b,003669971,4686857.026372736300000,347650.518759544940000,42.319058000000034,-70.848811999999995
53,29,115,511,128,7/16/2011 12:55:00,0,520,366925440,b,003669971,4686748.440783178400000,348503.706886360420000,42.318247000000014,-70.838435000000004
54,29,117,511,128,7/16/2011 12:56:00,0,520,366925440,b,003669971,4686298.125041134700000,349362.351508622990000,42.314360000000008,-70.827902999999992
55,29,116,511,128,7/16/2011 12:57:00,0,520,366925440,b,003669971,4686112.489814985500000,349704.088068805630000,42.312755000000045,-70.823710000000005
56,29,120,511,128,7/16/2011 12:57:00,0,520,366925440,b,003669713,4685866.928550519000000,350147.629486605530000,42.310630000000010,-70.818266999999992
57,29,121,511,128,7/16/2011 12:58:00,0,520,366925440,b,003669713,4685375.292150102600000,350948.042184718880000,42.306358000000010,-70.808432999999994
58,29,120,511,128,7/16/2011 12:59:00,0,520,366925440,b,003669713,4684924.051650891100000,351665.632304100320000,42.302433000000022,-70.799614999999974
59,29,119,511,128,7/16/2011 13:00:00,0,520,366925440,r,003669945,4684724.229536075100000,351995.646684061740000,42.300697000000028,-70.795561999999990
60,29,120,511,128,7/16/2011 13:01:00,0,520,366925440,b,003669971,4684364.206698523800000,352606.914407501000000,42.297572000000009,-70.788057999999992
61,29,119,511,128,7/16/2011 13:02:00,0,520,366925440,b,003669971,4683893.702772695600000,353393.749183285050000,42.293485000000011,-70.778397999999981
62,28,120,511,128,7/16/2011 13:03:00,0,520,366925440,b,003669713,4683450.549557745500000,354178.614436193370000,42.289643000000027,-70.768769999999989
63,29,120,511,128,7/16/2011 13:04:00,0,520,366925440,b,003669971,4682988.390715668000000,354914.680624536240000,42.285620000000023,-70.759729999999976
64,28,120,511,128,7/16/2011 13:05:00,0,520,366925440,b,003669971,4682536.234925324100000,355670.678784810010000,42.281690000000026,-70.750451999999981
65,29,120,511,128,7/16/2011 13:06:00,0,520,366925440,b,003669971,4682092.872874295300000,356397.417502022350000,42.277833000000008,-70.741531999999992
66,28,118,511,128,7/16/2011 13:07:00,0,520,366925440,b,003669971,4681650.782393215200000,357142.007955489680000,42.273989999999998,-70.732397000000006
67,28,119,511,128,7/16/2011 13:08:00,0,520,366925440,b,003669971,4681195.954327086000000,357921.825102559290000,42.270038000000007,-70.722832999999994
68,28,120,511,128,7/16/2011 13:09:00,0,520,366925440,b,003669971,4680759.446893161200000,358662.421381586230000,42.266243000000010,-70.713750000000019
69,28,119,511,128,7/16/2011 13:10:00,0,520,366925440,b,003669971,4680299.478307180100000,359424.915292502380000,42.262239999999984,-70.704396999999986
70,28,119,511,128,7/16/2011 13:11:00,0,520,366925440,b,003669971,4679879.120308935600000,360155.039168212560000,42.258587000000006,-70.695446999999987
71,28,119,511,128,7/16/2011 13:12:00,0,520,366925440,b,003669971,4679403.034157868500000,360971.617735099050000,42.254446999999999,-70.685436999999979
72,28,121,511,128,7/16/2011 13:13:00,0,520,366925440,b,003669971,4678931.994162866800000,361740.040886963720000,42.250343000000015,-70.676012999999998
73,28,120,511,128,7/16/2011 13:14:00,0,520,366925440,b,003669971,4678484.491186140100000,362451.168861293230000,42.246440000000007,-70.667289999999994
74,28,121,511,128,7/16/2011 13:15:00,0,520,366925440,b,003669971,4678018.081539569400000,363201.634362923910000,42.242373000000015,-70.658086999999981
75,28,120,511,128,7/16/2011 13:16:00,0,520,366925440,b,003669971,4677584.663185846100000,363927.741935818460000,42.238597999999982,-70.649187999999995
76,28,119,511,128,7/16/2011 13:17:00,0,520,366925440,b,003669971,4677141.861197652300000,364678.023931395260000,42.234742000000011,-70.639994999999999
77,28,118,511,128,7/16/2011 13:18:00,0,520,366925440,b,003669971,4676693.754523802500000,365442.907100066540000,42.230840000000022,-70.630624999999981
78,28,120,511,128,7/16/2011 13:19:00,0,520,366925440,b,003669971,4676259.452861771000000,366199.065721752120000,42.227059999999987,-70.621364999999983
79,28,118,511,128,7/16/2011 13:20:00,0,520,366925440,b,003669971,4675810.801181314500000,366943.236718742180000,42.223148000000045,-70.612247999999980
80,28,120,511,128,7/16/2011 13:21:00,0,520,366925440,b,003669971,4675323.909969126800000,367799.729954981250000,42.218909999999994,-70.601763000000005
81,28,118,511,128,7/16/2011 13:22:00,0,520,366925440,b,003669971,4674850.336999386500000,368579.382524645890000,42.214778000000017,-70.592213000000001
82,28,121,511,128,7/16/2011 13:23:00,0,520,366925440,b,003669971,4674349.870029596600000,369448.479824158360000,42.210418000000018,-70.581574999999987
83,28,120,511,128,7/16/2011 13:24:00,0,520,366925440,r,003669945,4673811.350300204000000,370333.263746061360000,42.205717000000000,-70.570739999999986
84,28,118,511,128,7/16/2011 13:25:00,0,520,366925440,r,003669945,4673378.168563375200000,371094.822802850050000,42.201943000000007,-70.561421999999993
85,28,121,511,128,7/16/2011 13:26:00,0,520,366925440,r,003669945,4672925.056724304300000,371845.455233833750000,42.197987000000040,-70.552232999999987
86,28,121,511,128,7/16/2011 13:27:00,0,520,366925440,r,003669945,4672472.738867813700000,372599.829745025370000,42.194038000000049,-70.543000000000006
87,28,122,511,128,7/16/2011 13:28:00,0,520,366925440,r,003669945,4672000.611902542400000,373336.347894307230000,42.189906999999998,-70.533980000000000
88,29,124,511,128,7/16/2011 13:29:00,0,520,366925440,r,003669945,4671503.380712298700000,374058.883263428700000,42.185547000000042,-70.525124999999989
89,29,124,511,128,7/16/2011 13:29:00,0,520,366925440,r,003669945,4671494.835951842400000,374070.873572028240000,42.185472000000011,-70.524977999999990
90,28,123,511,128,7/16/2011 13:30:00,0,520,366925440,r,01RMON1,4671054.831521812800000,374709.025241938420000,42.181613000000013,-70.517157999999995
91,28,122,511,128,7/16/2011 13:31:00,0,520,366925440,r,003669945,4670475.087696820500000,375596.434025656430000,42.176535000000001,-70.506292000000002
92,29,122,511,128,7/16/2011 13:32:00,0,520,366925440,r,003669945,4669989.194364327900000,376332.448558720760000,42.172277000000001,-70.497279999999989
93,29,123,511,128,7/16/2011 13:33:00,0,520,366925440,r,003669945,4669494.181622894500000,377061.049117824060000,42.167935000000028,-70.488356999999993
94,29,123,511,128,7/16/2011 13:33:00,0,520,366925440,r,003669945,4669354.735520906700000,377268.081427035850000,42.166711999999990,-70.485821999999985
95,29,121,511,128,7/16/2011 13:34:00,0,520,366925440,r,01RMON1,4669015.408496072500000,377786.477953285910000,42.163738000000016,-70.479477000000003
96,29,124,511,128,7/16/2011 13:35:00,0,520,366925440,r,003669945,4668511.609868524600000,378531.404757236130000,42.159318000000020,-70.470356999999993
97,29,122,511,128,7/16/2011 13:36:00,0,520,366925440,r,003669945,4667998.505454784300000,379273.301046842710000,42.154812999999990,-70.461273000000006
98,29,127,511,128,7/16/2011 13:37:00,0,520,366925440,r,01RMON1,4667467.676982905700000,379965.081252625210000,42.150139999999979,-70.452792999999986
99,29,126,511,128,7/16/2011 13:38:00,0,520,366925440,r,003669945,4666928.352862529500000,380677.483997750100000,42.145393000000048,-70.444063000000000
100,29,126,511,128,7/16/2011 13:39:00,0,520,366925440,r,003669945,4666362.908507455100000,381408.814840223640000,42.140413000000002,-70.435100000000006
101,29,148,511,128,7/16/2011 13:40:00,0,520,366925440,b,003669971,4665707.393171293700000,381998.550905700770000,42.134600000000006,-70.427832999999993
102,29,127,511,128,7/16/2011 13:41:00,0,520,366925440,r,003669945,4664936.346434203900000,382793.416165033360000,42.127777000000023,-70.418063000000004
103,29,125,511,128,7/16/2011 13:42:00,0,520,366925440,r,003669945,4664389.661773700300000,383499.218401687220000,42.122960000000020,-70.409417000000005
104,29,125,511,128,7/16/2011 13:43:00,0,520,366925440,r,003669945,4663824.851918499900000,384265.111522575840000,42.117988000000011,-70.400041999999985
105,29,126,511,128,7/16/2011 13:44:00,0,520,366925440,r,003669945,4663252.813276223800000,385016.535665814760000,42.112947999999996,-70.390841999999992
106,29,127,511,128,7/16/2011 13:45:00,0,520,366925440,r,003669945,4662731.749787895000000,385711.592208460900000,42.108358000000024,-70.382334999999969
107,29,126,511,128,7/16/2011 13:47:00,0,520,366925440,r,01SPTW1,4662136.284133665300000,386458.899692661130000,42.103105000000014,-70.373182999999969
108,29,125,511,128,7/16/2011 13:48:00,0,520,366925440,r,01SPTW1,4661558.750930281400000,387222.168007381260000,42.098015000000011,-70.363843000000003
109,29,126,511,128,7/16/2011 13:49:00,0,520,366925440,r,01SPTW1,4660974.094333009800000,387998.929656323050000,42.092862000000018,-70.354339999999993
110,29,127,511,128,7/16/2011 13:50:00,0,520,366925440,r,01SPTW1,4660444.710340751300000,388713.153978156860000,42.088197000000001,-70.345605000000006
111,29,127,511,128,7/16/2011 13:51:00,0,520,366925440,r,01SPTW1,4659877.451653234700000,389439.549173014240000,42.083192000000011,-70.336716999999993
112,29,126,511,128,7/16/2011 13:52:00,0,520,366925440,r,01SPTW1,4659305.824023580200000,390202.065468653110000,42.078151999999989,-70.327392999999987
113,29,124,511,128,7/16/2011 13:53:00,0,520,366925440,r,01SPTW1,4658787.204509545100000,390924.893054029900000,42.073583000000006,-70.318560000000005
114,29,124,511,128,7/16/2011 13:54:00,0,520,366925440,r,01SPTW1,4658271.317207576700000,391648.445876835850000,42.069038000000035,-70.309719999999999
115,29,127,511,128,7/16/2011 13:55:00,0,520,366925440,r,01SPTW1,4657750.825558695900000,392380.473349094390000,42.064451999999982,-70.300777999999994
116,29,125,511,128,7/16/2011 13:56:00,0,520,366925440,r,01SPTW1,4657232.181544106500000,393098.399622654540000,42.059879999999986,-70.292007999999996
117,29,126,511,128,7/16/2011 13:57:00,0,520,366925440,r,01SPTW1,4656712.416406011200000,393799.941963678230000,42.055295000000001,-70.283436999999992
118,29,124,511,128,7/16/2011 13:58:00,0,520,366925440,r,01SPTW1,4656423.645260211100000,394194.311283703890000,42.052748000000008,-70.278619999999989
119,29,126,511,128,7/16/2011 13:59:00,0,520,366925440,r,01SPTW1,4655679.673260824800000,395247.055451849480000,42.046190000000010,-70.265767999999994
120,29,125,511,128,7/16/2011 14:00:00,0,520,366925440,r,01SPTW1,4655280.843661392100000,395767.898570032790000,42.042668000000020,-70.259405000000001
121,29,124,511,128,7/16/2011 14:01:00,0,520,366925440,r,01SPTW1,4654749.071484977400000,396512.201767644840000,42.037978000000031,-70.250320000000002
122,29,124,511,128,7/16/2011 14:02:00,0,520,366925440,r,01SPTW1,4654240.987390343100000,397236.922452207650000,42.033498000000009,-70.241476999999989
123,29,124,511,128,7/16/2011 14:03:00,0,520,366925440,r,01SPTW1,4653680.232788005800000,398038.569913477640000,42.028553000000009,-70.231696999999997
124,30,123,511,128,7/16/2011 14:04:00,0,520,366925440,r,01SPTW1,4653176.475407615300000,398775.077338933010000,42.024112000000009,-70.222714999999980
125,29,118,511,128,7/16/2011 14:05:00,0,520,366925440,r,01SPTW1,4652691.495128788100000,399540.109414818700000,42.019843000000002,-70.213392999999996
126,29,107,511,128,7/16/2011 14:06:00,0,520,366925440,r,01SPTW1,4652301.169807206800000,400379.700813671570000,42.016435000000023,-70.203187999999983
127,28,96,511,128,7/16/2011 14:07:00,0,520,366925440,r,003669946,4652113.314585529300000,401281.002730914390000,42.014857000000049,-70.192272999999986
128,29,67,511,128,7/16/2011 14:08:00,0,520,366925440,r,01SPTW1,4652347.422201063500000,402145.191606779580000,42.017073000000011,-70.181877000000014
129,29,49,511,128,7/16/2011 14:09:00,0,520,366925440,r,01SPTW1,4652837.069149017300000,402935.309682536870000,42.021580000000021,-70.172416999999982
130,29,42,511,128,7/16/2011 14:10:00,0,520,366925440,r,01SPTW1,4653036.222478477300000,403135.527116874230000,42.023398000000014,-70.170032000000006
131,28,347,511,128,7/16/2011 14:11:00,0,520,366925440,r,01SPTW1,4654262.403428897300000,403857.251088335180000,42.034527999999995,-70.161516999999989
132,29,296,511,128,7/16/2011 14:12:00,0,520,366925440,r,01SPTW1,4654859.532624935700000,403262.035076102240000,42.039831999999997,-70.168804999999992
133,27,302,511,128,7/16/2011 14:13:00,0,520,366925440,r,01SPTW1,4655296.337134754300000,402490.549226412550000,42.043670000000006,-70.178196999999983
134,8,349,511,128,7/16/2011 14:14:00,0,520,366925440,r,01SPTW1,4655571.251321755300000,402204.621970456090000,42.046110000000006,-70.181697000000000
135,8,343,511,128,7/16/2011 14:15:00,0,520,366925440,r,01SPTW1,4655833.334724761500000,402228.935773867180000,42.048473000000008,-70.181446999999977
136,0,306,511,128,7/16/2011 14:16:00,0,520,366925440,r,01SPTW1,4655904.919011727000000,402192.015170467090000,42.049113000000006,-70.181905000000000
137,0,104,511,128,7/16/2011 14:17:00,0,520,366925440,r,01SPTW1,4655904.600780734800000,402190.934742892160000,42.049110000000020,-70.181917999999968
138,0,217,511,128,7/16/2011 14:17:00,0,520,366925440,r,01SPTW1,4655903.173370624000000,402189.756216636860000,42.049097000000025,-70.181931999999989
139,0,229,511,128,7/16/2011 14:18:00,0,520,366925440,r,01SPTW1,4655902.738389900000000,402189.088033281270000,42.049093000000028,-70.181939999999983
140,0,346,511,128,7/16/2011 14:19:00,0,520,366925440,r,01SPTW1,4655903.512185216000000,402189.347040630880000,42.049100000000003,-70.181936999999991
141,0,236,511,128,7/16/2011 14:20:00,0,520,366925440,r,01SPTW1,4655903.517902990800000,402188.933261781000000,42.049100000000031,-70.181942000000006
142,0,322,511,128,7/16/2011 14:21:00,0,520,366925440,r,01SPTW1,4655904.844572611200000,402189.365452086550000,42.049112000000022,-70.181936999999991
143,0,233,511,128,7/16/2011 14:22:00,0,520,366925440,r,01SPTW1,4655902.413297958700000,402188.504139925350000,42.049090000000021,-70.181946999999994
144,0,238,511,128,7/16/2011 14:23:00,0,520,366925440,r,01SPTW1,4655900.427296111400000,402187.566208654080000,42.049072000000017,-70.181957999999980
145,0,272,511,128,7/16/2011 14:24:00,0,520,366925440,r,01SPTW1,4655900.969878288000000,402188.484194022600000,42.049077000000011,-70.181946999999980